"AD_Inactive","ED_Inactive","Status","AD_Active","ED_Active"
23,66,"COMBINED INTO 017/23",17,23
23,67,"COMBINED INTO 036/23",36,23
23,68,"COMBINED INTO 017/23",17,23
23,69,"COMBINED INTO 040/23",40,23
23,71,"COMBINED INTO 017/23",17,23
23,72,"COMBINED INTO 001/23",1,23
26,30,"COMBINED INTO 027/26",27,26
26,63,"COMBINED INTO 023/26",23,26
26,64,"COMBINED INTO 023/26",23,26
26,66,"COMBINED INTO 024/26",24,26
27,53,"COMBINED INTO 002/27",2,27
27,55,"COMBINED INTO 002/27",2,27
27,58,"COMBINED INTO 054/27",54,27
27,64,"COMBINED INTO 046/27",46,27
27,65,"COMBINED INTO 035/27",35,27
27,66,"COMBINED INTO 035/27",35,27
28,16,"COMBINED INTO 005/28",5,28
28,63,"COMBINED INTO 064/28",64,28
28,70,"COMBINED INTO 069/28",69,28
29,62,"COMBINED INTO 017/29",17,29
30,1,"COMBINED INTO 002/30",2,30
30,26,"COMBINED INTO 032/30",32,30
30,57,"COMBINED INTO 009/30",9,30
31,61,"COMBINED INTO 060/31",60,31
31,62,"COMBINED INTO 032/31",32,31
32,69,"COMBINED INTO 018/32",18,32
34,57,"COMBINED INTO 001/34",1,34
34,58,"COMBINED INTO 006/34",6,34
35,50,"COMBINED INTO 046/35",46,35
35,52,"COMBINED INTO 001/35",1,35
35,57,"COMBINED INTO 001/35",1,35
35,58,"COMBINED INTO 001/35",1,35
35,59,"COMBINED INTO 001/35",1,35
35,60,"COMBINED INTO 022/35",22,35
35,62,"COMBINED INTO 043/35",43,35
35,64,"COMBINED INTO 051/35",51,35
36,68,"COMBINED INTO 052/36",52,36
36,69,"COMBINED INTO 015/36",15,36
37,38,"COMBINED INTO 027/37",27,37
37,42,"COMBINED INTO 045/37",45,37
37,66,"COMBINED INTO 001/37",1,37
37,67,"COMBINED INTO 041/37",41,37
37,69,"COMBINED INTO 041/37",41,37
37,71,"COMBINED INTO 059/76",59,76
40,25,"COMBINED INTO 026/40",26,40
41,73,"COMBINED INTO 062/41",62,41
41,74,"COMBINED INTO 003/41",3,41
44,79,"COMBINED INTO 074/44",74,44
44,80,"COMBINED INTO 053/44",53,44
44,81,"COMBINED INTO 025/44",25,44
45,56,"COMBINED INTO 051/45",51,45
46,74,"COMBINED INTO 043/46",43,46
46,75,"COMBINED INTO 072/46",72,46
46,76,"COMBINED INTO 072/46",72,46
46,77,"COMBINED INTO 021/46",21,46
46,78,"COMBINED INTO 048/46",48,46
48,54,"COMBINED INTO 020/48",20,48
49,1,"COMBINED INTO 002/49",2,49
49,54,"COMBINED INTO 004/49",4,49
49,56,"COMBINED INTO 042/49",42,49
50,66,"COMBINED INTO 054/50",54,50
50,67,"COMBINED INTO 064/50",64,50
51,57,"COMBINED INTO 035/51",35,51
52,4,"COMBINED INTO 003/52",3,52
52,27,"COMBINED INTO 028/52",28,52
52,89,"COMBINED INTO 008/52",8,52
52,91,"COMBINED INTO 041/52",41,52
52,93,"COMBINED INTO 087/52",87,52
52,94,"COMBINED INTO 087/52",87,52
52,95,"COMBINED INTO 087/52",87,52
52,98,"COMBINED INTO 011/52",11,52
52,99,"COMBINED INTO 057/52",57,52
55,66,"COMBINED INTO 002/55",2,55
55,67,"COMBINED INTO 010/55",10,55
57,73,"COMBINED INTO 040/57",40,57
57,74,"COMBINED INTO 002/57",2,57
57,76,"COMBINED INTO 075/57",75,57
57,77,"COMBINED INTO 002/57",2,57
58,66,"COMBINED INTO 049/58",49,58
58,67,"COMBINED INTO 053/58",53,58
59,67,"COMBINED INTO 063/59",63,59
59,68,"COMBINED INTO 057/59",57,59
59,69,"COMBINED INTO 061/59",61,59
59,70,"COMBINED INTO 061/59",61,59
59,71,"COMBINED INTO 023/59",23,59
59,72,"COMBINED INTO 063/59",63,59
60,61,"COMBINED INTO 034/60",34,60
61,44,"COMBINED INTO 038/61",38,61
61,45,"COMBINED INTO 038/61",38,61
61,46,"COMBINED INTO 006/61",6,61
61,49,"COMBINED INTO 038/61",38,61
61,70,"COMBINED INTO 069/61",69,61
61,71,"COMBINED INTO 060/61",60,61
61,72,"COMBINED INTO 060/61",60,61
61,73,"COMBINED INTO 069/61",69,61
61,74,"COMBINED INTO 060/61",60,61
61,101,"COMBINED INTO 100/61",100,61
61,104,"COMBINED INTO 103/61",103,61
61,106,"COMBINED INTO 105/61",105,61
61,107,"COMBINED INTO 105/61",105,61
61,108,"COMBINED INTO 105/61",105,61
61,111,"COMBINED INTO 109/61",109,61
61,112,"COMBINED INTO 100/61",100,61
61,114,"COMBINED INTO 113/61",113,61
62,62,"COMBINED INTO 033/62",33,62
62,63,"COMBINED INTO 001/62",1,62
62,64,"COMBINED INTO 033/62",33,62
63,66,"COMBINED INTO 009/63",9,63
63,67,"COMBINED INTO 040/63",40,63
63,68,"COMBINED INTO 040/63",40,63
63,69,"COMBINED INTO 040/63",40,63
63,70,"COMBINED INTO 051/63",51,63
63,72,"COMBINED INTO 032/63",32,63
63,73,"COMBINED INTO 032/63",32,63
63,74,"COMBINED INTO 050/63",50,63
63,77,"COMBINED INTO 033/63",33,63
64,49,"COMBINED INTO 035/64",35,64
64,50,"COMBINED INTO 037/64",37,64
64,52,"COMBINED INTO 037/64",37,64
64,53,"COMBINED INTO 035/64",35,64
64,54,"COMBINED INTO 020/64",20,64
64,55,"COMBINED INTO 020/64",20,64
64,56,"COMBINED INTO 020/64",20,64
64,57,"COMBINED INTO 037/64",37,64
64,58,"COMBINED INTO 037/64",37,64
64,59,"COMBINED INTO 020/64",20,64
64,90,"COMBINED INTO 088/64",88,64
65,68,"COMBINED INTO 037/74",37,74
65,69,"COMBINED INTO 004/65",4,65
65,70,"COMBINED INTO 024/65",24,65
65,71,"COMBINED INTO 012/65",12,65
66,75,"COMBINED INTO 008/66",8,66
66,76,"COMBINED INTO 012/66",12,66
66,77,"COMBINED INTO 012/66",12,66
66,78,"COMBINED INTO 005/66",5,66
67,68,"COMBINED INTO 058/67",58,67
67,69,"COMBINED INTO 019/67",19,67
67,70,"COMBINED INTO 030/67",30,67
68,76,"COMBINED INTO 075/68",75,68
68,77,"COMBINED INTO 010/68",10,68
68,78,"COMBINED INTO 002/68",2,68
68,80,"COMBINED INTO 017/68",17,68
68,81,"COMBINED INTO 018/69",18,69
69,77,"COMBINED INTO 033/69",33,69
69,78,"COMBINED INTO 041/69",41,69
69,79,"COMBINED INTO 016/69",16,69
69,80,"COMBINED INTO 022/69",22,69
69,81,"COMBINED INTO 046/69",46,69
69,82,"COMBINED INTO 046/69",46,69
69,83,"COMBINED INTO 033/69",33,69
69,84,"COMBINED INTO 046/69",46,69
70,70,"COMBINED INTO 014/70",14,70
70,71,"COMBINED INTO 029/70",29,70
70,72,"COMBINED INTO 013/70",13,70
71,66,"COMBINED INTO 036/71",36,71
71,67,"COMBINED INTO 003/71",3,71
71,68,"COMBINED INTO 046/71",46,71
71,69,"COMBINED INTO 031/71",31,71
71,70,"COMBINED INTO 063/71",63,71
71,71,"COMBINED INTO 031/71",31,71
72,64,"COMBINED INTO 047/72",47,72
72,65,"COMBINED INTO 047/72",47,72
72,66,"COMBINED INTO 047/72",47,72
73,70,"COMBINED INTO 002/73",2,73
73,71,"COMBINED INTO 018/73",18,73
73,72,"COMBINED INTO 019/73",19,73
74,66,"COMBINED INTO 062/74",62,74
74,68,"COMBINED INTO 060/74",60,74
74,69,"COMBINED INTO 067/74",67,74
74,70,"COMBINED INTO 004/74",4,74
75,19,"COMBINED INTO 014/75",14,75
75,68,"COMBINED INTO 008/75",8,75
75,69,"COMBINED INTO 035/75",35,75
75,70,"COMBINED INTO 010/75",10,75
75,71,"COMBINED INTO 036/75",36,75
76,63,"COMBINED INTO 015/73",15,73
76,65,"COMBINED INTO 064/76",64,76
76,66,"COMBINED INTO 019/73",19,73
76,67,"COMBINED INTO 069/68",69,68
76,68,"COMBINED INTO 060/76",60,76
77,57,"COMBINED INTO 012/77",12,77
77,59,"COMBINED INTO 012/77",12,77
77,60,"COMBINED INTO 054/77",54,77
77,61,"COMBINED INTO 028/77",28,77
77,62,"COMBINED INTO 019/77",19,77
78,52,"COMBINED INTO 046/78",46,78
78,53,"COMBINED INTO 011/78",11,78
78,54,"COMBINED INTO 024/78",24,78
78,55,"COMBINED INTO 025/78",25,78
80,39,"COMBINED INTO 036/80",36,80
80,65,"COMBINED INTO 066/80",66,80
81,61,"COMBINED INTO 013/81",13,81
82,45,"COMBINED INTO 053/82",53,82
82,52,"COMBINED INTO 053/82",53,82
82,67,"COMBINED INTO 025/82",25,82
82,68,"COMBINED INTO 042/82",42,82
82,69,"COMBINED INTO 042/82",42,82
82,70,"COMBINED INTO 042/82",42,82
82,71,"COMBINED INTO 042/82",42,82
82,73,"COMBINED INTO 042/82",42,82
82,74,"COMBINED INTO 042/82",42,82
82,75,"COMBINED INTO 042/82",42,82
83,57,"COMBINED INTO 055/83",55,83
84,63,"COMBINED INTO 016/84",16,84
85,57,"COMBINED INTO 056/85",56,85
85,59,"COMBINED INTO 056/85",56,85
85,60,"COMBINED INTO 054/85",54,85
85,63,"COMBINED INTO 055/85",55,85
85,64,"COMBINED INTO 055/85",55,85
85,65,"COMBINED INTO 054/85",54,85
85,66,"COMBINED INTO 054/85",54,85
85,67,"COMBINED INTO 054/85",54,85
85,68,"COMBINED INTO 054/85",54,85
85,69,"COMBINED INTO 054/85",54,85
85,70,"COMBINED INTO 054/85",54,85
85,71,"COMBINED INTO 054/85",54,85
85,72,"COMBINED INTO 054/85",54,85
85,73,"COMBINED INTO 054/85",54,85
85,74,"COMBINED INTO 054/85",54,85
85,75,"COMBINED INTO 054/85",54,85
85,76,"COMBINED INTO 055/85",55,85
85,77,"COMBINED INTO 054/85",54,85
85,78,"COMBINED INTO 056/85",56,85
85,79,"COMBINED INTO 056/85",56,85
85,80,"COMBINED INTO 056/85",56,85
85,81,"COMBINED INTO 056/85",56,85
85,82,"COMBINED INTO 056/85",56,85
85,83,"COMBINED INTO 056/85",56,85
86,54,"COMBINED INTO 025/86",25,86
86,55,"COMBINED INTO 045/86",45,86
87,33,"COMBINED INTO 036/87",36,87
87,58,"COMBINED INTO 035/87",35,87
